"geo";"iso_code";"year";"week";"age";"date";"tkpy";"it";"sens";"ed";"model";"observed";"expected";"y";"increase";"excess";"se";"outcome";"population";"cumexcess";"meanpopulation";"cumexpected";"nuts_level";"geoname";"new_deaths";"cumnewdeaths";"cumexcessperpop";"popdensity";"overcrowding";"urbanization";"gdp";"popold";"obese";"smoke";"alcohol";"asthma";"chrt_angpec";"diab";"hblpr";"healthexpenditure";"nurses"
"LT";"LT";2021;52;"TOTAL";2021-12-27;7;TRUE;FALSE;"ExPost";"poisson";983;798,481421783941;0,23108687714213;0,218952666122032;174,829636148505;11,9973559909429;983;2823784,04970971;14263,1184069427;2821624,31471256;70443,1819479298;0;"Lithuania";130;7432;5054,93177549248;44,6;22,9;43,2;26379,1;19,6378280349904;18,9;23,7;0,8;2,8;6;5,3;29,9;1216,44;770,82
"LU";"LU";2021;52;"TOTAL";2021-12-27;9;TRUE;FALSE;"ExPost";"poisson";122;91,6080931127708;0,331760064580936;0,118048250703328;10,8141751422302;4,77114199199476;122;647976,14135785;523,552557869328;637327,944749442;7876,88905324804;0;"Luxembourg";5;640;821,480624194435;239,8;7,1;19,6;78735,2;14,3881517004564;16,5;18,2;8,9;6;1,7;4,6;15,5;5502,99;1172,49
"LV";"LV";2021;52;"TOTAL";2021-12-27;9;TRUE;FALSE;"ExPost";"poisson";703;568,039194358102;0,237590657444698;0,213529838603449;121,293317491719;11,7087719709466;703;1888623,83690336;8947,80457758952;1895060,16037982;49875,9016118745;0;"Latvia";72;4887;4721,64671320838;30,2;42,2;43,8;20946,3;20,2596605776763;23;26,8;1,2;3,8;5,8;5,7;31,7;1060,24;456,79
"MT";"MT";2021;52;"TOTAL";2021-12-27;9;TRUE;FALSE;"ExPost";"poisson";100;89,1767413357914;0,121368627089142;0,119769409638884;10,6806456633072;4,2907472489229;100;528481,297345921;655,02496664639;515656,658145355;6881,99576595875;0;"Malta";5;498;1270,27345870467;1595,1;3,7;89,6;33378,1;18,3512925788286;28,7;25,1;7,9;6;2,4;7,5;18,1;2575,52;802,78
"NL";"NL";2021;52;"TOTAL";2021-12-27;9;TRUE;FALSE;"ExPost";"poisson";3681;3428,65373005181;0,0735992286816257;0,0467410002896593;160,258704989493;27,1064539857866;3681;17625975,449505;21644,2754734293;17520946,6049308;291591,897084067;0;"Netherlands";132;21092;1235,33710600648;507,3;4,8;56,2;40543,6;19,1758635767988;14,7;21,1;8,3;6,4;2,6;5,8;16,1;4753,39;1093,58
"NO";"NO";2021;52;"TOTAL";2021-12-27;9;TRUE;FALSE;"ExPost";"poisson";929;895,562532990433;0,0373368310729942;0,0692987404795857;62,0613555569445;15,1374848143548;929;5433652,06009406;-1247,04269173875;5406942,37137396;76815,1223998806;0;"Norway";59;1394;-230,637318855289;17,3;6,1;28,9;46131,9;17,2448280961794;14,1;18,1;1,4;7,9;1,4;4,5;15,1;7126,65;1766,22
"PL";"PL";2021;52;"TOTAL";2021-12-27;9;TRUE;FALSE;"ExPost";"poisson";13541;8398,15656700794;0,612377655972224;0,523521940976294;4396,6192265828;40,4682762314488;13541;37079983,8944862;188973,249018446;37278071,7339706;739400,328025894;0;"Poland";3266;97596;5069,28712319203;123,6;37,6;35;23345,3;17,6601195613325;19;22,6;1,6;4,1;7,5;8,1;26,5;906,09;510,07
"RO";"RO";2021;52;"TOTAL";2021-12-27;5;FALSE;FALSE;"ExPost";"poisson";5748;5385,57744817572;0,0672950218081162;0,0334505816862354;180,150698357749;35,0211356754762;5748;19099840,4315239;130746,342667016;19213245,695925;456062,119336876;0;"Romania";243;58779;6805,01070648081;82,7;45,8;28,8;21850,1;18,5241174386635;10,9;27,3;2,9;1,5;1,5;5;15,7;661,28;696,62
"SE";"SE";2021;52;"TOTAL";2021-12-27;9;TRUE;FALSE;"ExPost";"poisson";1975;1850,03351364199;0,067548228416687;0,0545074470221385;100,840603734021;21,0059338021229;1975;10469731,4469274;7855,72694466274;10380974,8374951;161544,009625749;0;"Sweden";63;15365;756,742701686223;25,2;15,6;40,3;36990,3;19,8990634089217;15,3;12,6;1,8;7,5;1,3;6,3;18,2;5056,58;1091,51
"SI";"SI";2021;52;"TOTAL";2021-12-27;9;TRUE;FALSE;"ExPost";"poisson";494;442,607030082792;0,116114219667037;0,0773148856561738;34,2201119214698;8,68363208528167;494;2108024,84691799;5462,51966347743;2100743,40364832;37980,5058501348;0;"Slovenia";64;6153;2600,27933634864;103,7;11,6;19,5;27547,4;19,8497002270163;19,9;23,2;6,6;4,8;3,2;7,8;25,4;1975,17;992,31
